FMID,MarketName,street,city,County,State,zip,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,latitude,logitude
1010994,2nd Street Farmers' Market,194 second street,Amherst,Amherst,Virginia,24521,,,,,THU: 3:30 PM-6:30 PM;,THU: 3:30 PM-6:30 PM;,THU: 3:30 PM-6:30 PM;,THU: 3:30 PM-6:30 PM;,THU: 3:30 PM-6:30 PM;,,,,-79.048573,37.583311
1009959,2nd Street Market - Five Rivers MetroPark,600 E. 2nd Street,Dayton,Montgomery,Ohio,45402,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,THU: 11:00 AM-3:00 PM;FRI: 11:00 AM-3:00 PM;SAT: 8:00 AM-3:00 PM;,-84.18103,39.762593
1004950,3 French Hens French Country Market,123 W. Illinois Avenue,Morris,Grundy,Illinois,60450,,,,,SAT: 8:00 AM-2:00 PM;,SAT: 8:00 AM-2:00 PM;,SAT: 8:00 AM-2:00 PM;,SAT: 8:00 AM-2:00 PM;,SAT: 8:00 AM-2:00 PM;,SAT: 8:00 AM-2:00 PM;,FRI: 4:30 PM-10:00 PM;SAT: 9:00 AM-3:00 PM;,,-88.425186,41.356383
1010775,30A Farmers' Market,Rosmary Beach Town Center,Rosemary Beach,Walton,Florida,32461,SUN: 9:00 AM-1:00 PM;,,,,,,,,,,,,-86.00275400000001,30.279017
1018656,31 & Main Farmers Market at Campus Town,1928 Pennington Road,Ewing,Mercer,New Jersey,08618,,,,,,SUN: 10:00 AM-2:00 PM;,SUN: 10:00 AM-2:00 PM;,SUN: 10:00 AM-2:00 PM;,SUN: 10:00 AM-2:00 PM;,SUN: 10:00 AM-2:00 PM;,,,-74.783289,40.268253
1005636,32nd Street/Waverly Farmers Market,E. 32nd & Barclay Street,Baltimore,Baltimore,Maryland,21218,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,SAT: 7:00 AM-12:00 PM;,-76.611,39.3272
1005310,33rd and Diamond Farmers' Market,N 33rd and Diamond Streets,Philadelphia,Philadelphia,Pennsylvania,19121,,,,,,THU: 2:00 PM-6:00 PM;,THU: 2:00 PM-6:00 PM;,THU: 2:00 PM-6:00 PM;,THU: 2:00 PM-6:00 PM;,THU: 2:00 PM-6:00 PM;,THU: 2:00 PM-6:00 PM;,,-75.187167,39.988802
1018389,38th & Meridian Farmer's Market,3808 N Meridian Street,Indianapolis,Marion,Indiana,46208,,,,,,THU: 4:00 PM-6:30 PM;,THU: 4:00 PM-6:30 PM;,THU: 4:00 PM-6:30 PM;,THU: 4:00 PM-6:30 PM;,,,,-86.1575468,39.8255595
1012280,39 North Marketplace,Downtown Sparks Victorian Avenue,Sparks,Washoe,Nevada,89431,,,,,,THU: 4:00 PM-9:00 PM;,THU: 4:00 PM-9:00 PM;,THU: 4:00 PM-9:00 PM;,,,,,-119.754962,39.534773
1004414,3rd & Curry St. Farmers Market,3rd & Curry Street,Carson City,Carson City,Nevada,89703,,,,,,SAT:8:30 AM - 1:30 PM;,SAT:8:30 AM - 1:30 PM;,SAT:8:30 AM - 1:30 PM;,SAT:8:30 AM - 1:30 PM;,,,,-119.7678,39.16257
1011213,441 Ministries Farm Stand,441 Parsells Avenue,Rochester,Monroe,New York,14609,,,,,,,,,,,,,-77.5666043,43.1658344
1010965,4th and Lehigh Farmers' Market,N 4th Street and W. Lehigh Avenue,Philadelphia,Philadelphia,Pennsylvania,19133,,,,,,TUE: 1:00 PM-5:00 PM;,TUE: 1:00 PM-5:00 PM;,TUE: 1:00 PM-5:00 PM;,TUE: 1:00 PM-5:00 PM;,TUE: 1:00 PM-5:00 PM;,TUE: 1:00 PM-5:00 PM;,,-75.138654,39.991748
1005304,52nd and Haverford Farmers' Market,N 52nd Street and Haverford Avenue,Philadelphia,Philadelphia,Pennsylvania,19139,,,,,,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,WED: 1:00 PM-5:00 PM;,,-75.224492,39.965053999999995
1000060,57th Street Greenmarket,W 57 St. & 9 Avenue,New York,New York,New York,10019,,,,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,WED: 8:00 AM-5:00 PM;SAT: 8:00 AM-5:00 PM;,-73.985839,40.768159000000004
1005306,58th and Chester Farmers' Market,58th Street and Chester Avenue,Philadelphia,Philadelphia,Pennsylvania,19143,,,,,,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,WED: 2:00 PM-6:00 PM;,,-75.228303,39.935721
1018426,61st Street Farmers Market,61st Street and Dorchester Avenue,Chicago,Cook,Illinois,60637,,,,,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,SAT: 9:00 AM-2:00 PM;,-87.59142059999999,41.7841961
1012500,6th Street Market in Downtown Tempe,6th Street and Mill Avenue,Tempe,Maricopa,Arizona,85281,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,,,,,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,SUN: 9:00 AM-1:00 PM;,-111.93951200000001,33.42442
1000061,79th Street Greenmarket,Columbus - W 78 & 81 Sts,New York,New York,New York,10024,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,SUN: 8:00 AM-5:00 PM;,-73.9757,40.7818
1000062,82nd Street Greenmarket,E 82nd St. - 1st & York Avenue,New York,New York,New York,10028,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,SAT: 9:00 AM-2:30 PM;,-73.95009,40.773749
1008391,84 west farmers market (Dothan),,Dothan,Houston,Alabama,,,,,,,THU: 3:00 PM-6:00 PM;,THU: 3:00 PM-6:00 PM;,THU: 3:00 PM-6:00 PM;,,,,,-85.44994399999999,31.232252000000003
1001961,8th Avenue City Farmers Market,8th Ave & 2nd St SE,Cedar Rapids,Linn,Iowa,52401,,,,,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,TUE:4:00 PM - 6:00 PM;SAT:7:30 AM - 12:00 PM;,,,-91.66265340000001,41.972837
1000063,92nd Street Greenmarket,1st Ave - E 92nd & 93 Sts,New York,New York,New York,10128,,,,,,SUN: 9:00 AM-4:00 PM;,SUN: 9:00 AM-4:00 PM;,SUN: 9:00 AM-4:00 PM;,SUN: 9:00 AM-4:00 PM;,SUN: 9:00 AM-4:00 PM;,SUN: 9:00 AM-4:00 PM;,,-73.946421,40.780931
1000064,97th Street Greenmarket,W 97 St. & Columbus,New York,New York,New York,10025,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,FRI: 8:00 AM-2:00 PM;,-73.967012,40.79356
1011989,9th and Grand Farmers Market,304 West Grand Avenue,Salina,Saline,Kansas,67401,,,,,TUE: 4:00 PM-7:00 PM;,TUE: 4:00 PM-7:00 PM;,TUE: 4:00 PM-7:00 PM;,TUE: 4:00 PM-7:00 PM;,TUE: 4:00 PM-7:00 PM;,,,,-97.6117504,38.8528359
1000986,9th West Farmers Market/People's Market,1060 South 900 WeStreet,Salt Lake City,Salt Lake,Utah,84110,,,,,SUN: 9:00 AM-2:00 PM;,SUN: 9:00 AM-2:00 PM;nan,SUN: 9:00 AM-2:00 PM;nan,SUN: 9:00 AM-2:00 PM;nan,SUN: 9:00 AM-2:00 PM;,SUN: 9:00 AM-2:00 PM;,,,-111.9195223,40.7470177
1001683,A Better Choice Bakery & Market,27 W Potomac Street,Brunswick,Frederick,Maryland,21716,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,MON:12:00 PM - 5:00 PM;TUE:12:00 PM - 5:00 PM;WED:12:00 PM - 5:00 PM;THU:12:00 PM - 5:00 PM;FRI:12:00 PM - 5:00 PM;SAT:10:00 AM - 5:00 PM;SUN:12:00 PM - 5:00 PM;,-77.6277075,39.313066
1009004,A Growers' Market,229 Lake Ella Drive,Tallahassee,Leon,Florida,32303,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,WED: 3:00 PM-6:30 PM;,-84.2792304,30.462471299999997
1001887,AAFFA Community Farmers Market,402 North Murray Avenue,Anderson,Anderson,South Carolina,29624,,,,,TUE: 5:00 PM-8:00 PM;,TUE: 5:00 PM-8:00 PM;,TUE: 5:00 PM-8:00 PM;,TUE: 5:00 PM-8:00 PM;,TUE: 5:00 PM-8:00 PM;,,,,-82.652159,34.506706
1009028,ABBEVILLE FARMERS MARKET,Kirkland Street,Abbeville,Henry,Alabama,,,,,,,FRI: 3:00 PM-6:00 PM;,FRI: 3:00 PM-6:00 PM;,,,,,,-85.250365,31.571271000000003
1004573,Abbeville Farmers Market,118 Trinity Street at Livery Stable,Abbeville,Abbeville,South Carolina,29620,,,,,,THU: 4:00 PM-8:00 PM;FRI: 7:00 AM-12:00 PM;,THU: 4:00 PM-8:00 PM;FRI: 7:00 AM-12:00 PM;,THU: 4:00 PM-8:00 PM;FRI: 7:00 AM-12:00 PM;,THU: 4:00 PM-8:00 PM;FRI: 7:00 AM-12:00 PM;,THU: 4:00 PM-8:00 PM;FRI: 7:00 AM-12:00 PM;,,,-82.38024200000001,34.177429
1004598,Abbotsford Farmers Market,1011 EaStreet Spruce Street,Abbotsford,Clark,Wisconsin,54405,,,,,TUE:1:30 PM - 5:30 PM;,TUE:1:30 PM - 5:30 PM;,TUE:1:30 PM - 5:30 PM;,TUE:1:30 PM - 5:30 PM;,TUE:1:30 PM - 5:30 PM;,TUE:1:30 PM - 5:30 PM;,,,-90.30714499999999,44.945665000000005
